#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q04912	uniprotkb:P09958	-	-	psi-mi:ron_human|psi-mi:MST1R|uniprotkb:B5A944|uniprotkb:B5A945|uniprotkb:B5A946|uniprotkb:B5A947|uniprotkb:MST1R|uniprotkb:PTK8|uniprotkb:RON|uniprotkb:p185-Ron|uniprotkb:Protein-tyrosine kinase 8|uniprotkb:CDw136|intact:EBI-2637518	psi-mi:furin_human|psi-mi:FURIN|uniprotkb:Q14336|uniprotkb:Q6LBS3|uniprotkb:Q9UCZ5|uniprotkb:FURIN|uniprotkb:FUR|uniprotkb:PACE|uniprotkb:PCSK3|uniprotkb:Paired basic amino acid residue-cleaving enzyme|uniprotkb:Dibasic-processing enzyme|intact:EBI-1056807	psi-mi:"MI:0435"(protease assay)	Ma et al. (2010)	pubmed:21114864|imex:IM-15338	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0194"(cleavage reaction)	psi-mi:"MI:1263"(Molecular Connections)	intact:EBI-3506254	intact-miscore:0.44
uniprotkb:P53350	uniprotkb:Q04912-2	-	-	psi-mi:plk1_human|psi-mi:PLK1|uniprotkb:Q15153|uniprotkb:Q99746|uniprotkb:Polo-like kinase 1|uniprotkb:Serine/threonine-protein kinase 13|uniprotkb:PLK1|uniprotkb:PLK|intact:EBI-476768	psi-mi:q04912-2|psi-mi:MST1R|uniprotkb:MST1R|uniprotkb:CDw136|uniprotkb:PTK8|uniprotkb:Protein-tyrosine kinase 8|uniprotkb:RON|uniprotkb:p185-Ron|uniprotkb:sf-RON|intact:EBI-10980344	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hein et al. (2015)	pubmed:26496610|imex:IM-24272	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-11006926	intact-miscore:0.35
uniprotkb:Q8VE38	uniprotkb:Q04912-2	-	-	psi-mi:oxnd1_mouse|psi-mi:Oxnad1|uniprotkb:Q3UT09|uniprotkb:Q8C093|uniprotkb:Oxnad1|intact:EBI-11017521	psi-mi:q04912-2|psi-mi:MST1R|uniprotkb:MST1R|uniprotkb:CDw136|uniprotkb:PTK8|uniprotkb:Protein-tyrosine kinase 8|uniprotkb:RON|uniprotkb:p185-Ron|uniprotkb:sf-RON|intact:EBI-10980344	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hein et al. (2015)	pubmed:26496610|imex:IM-24272	taxid:10090(mouse)	taxid:9606(human)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-11017546	intact-miscore:0.35
uniprotkb:O89033	uniprotkb:Q04912-2	-	-	psi-mi:cdc6_mouse|psi-mi:Cdc6|uniprotkb:Q3TMD0|uniprotkb:Q8C3S5|uniprotkb:Q9CZT0|uniprotkb:CDC6-related protein|uniprotkb:"p62(cdc6)"|uniprotkb:Cdc6|intact:EBI-2551499	psi-mi:q04912-2|psi-mi:MST1R|uniprotkb:MST1R|uniprotkb:CDw136|uniprotkb:PTK8|uniprotkb:Protein-tyrosine kinase 8|uniprotkb:RON|uniprotkb:p185-Ron|uniprotkb:sf-RON|intact:EBI-10980344	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hein et al. (2015)	pubmed:26496610|imex:IM-24272	taxid:10090(mouse)	taxid:9606(human)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-11019643	intact-miscore:0.35
uniprotkb:Q9DCX1	uniprotkb:Q04912-2	-	-	psi-mi:md2bp_mouse|psi-mi:Mad2l1bp|uniprotkb:Q99J05|uniprotkb:Q9D0Y3|uniprotkb:Mad2l1bp|uniprotkb:Mad2lbp|intact:EBI-308982	psi-mi:q04912-2|psi-mi:MST1R|uniprotkb:MST1R|uniprotkb:CDw136|uniprotkb:PTK8|uniprotkb:Protein-tyrosine kinase 8|uniprotkb:RON|uniprotkb:p185-Ron|uniprotkb:sf-RON|intact:EBI-10980344	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hein et al. (2015)	pubmed:26496610|imex:IM-24272	taxid:10090(mouse)	taxid:9606(human)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-11028199	intact-miscore:0.35
chebi:"CHEBI:77563"	uniprotkb:Q04912	-	-	psi-mi:rac-crizotinib|psi-mi:"CHEBI:77563"|intact:EBI-13635573|intact:"(+-)-crizotinib"|intact:"(RS)-crizotinib"|intact:racemic crizotinib|intact:"rac-3-[1-(2,6-dichloro-3-fluorophenyl)ethoxy]-5-[1-(piperidin-4-yl)-1H-pyrazol-4-yl]pyridin-2-amine"	psi-mi:ron_human|psi-mi:MST1R|uniprotkb:B5A944|uniprotkb:B5A945|uniprotkb:B5A946|uniprotkb:B5A947|uniprotkb:MST1R|uniprotkb:PTK8|uniprotkb:RON|uniprotkb:p185-Ron|uniprotkb:Protein-tyrosine kinase 8|uniprotkb:CDw136|intact:EBI-2637518	psi-mi:"MI:0096"(pull down)	Vladimer et al. (2017)	pubmed:unassigned1354|imex:IM-25603	taxid:-2(chemical synthesis)	taxid:9606(human)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-13635545	intact-miscore:0.35
uniprotkb:IRF8_MOUSE	uniprotkb:Q62190	refseq:NP_032346	refseq:NP_033100	uniprotkb:P23611|ensembl:ENSMUSG00000041515|innatedb:IDBG-196509|mgi:Irf8	uniprotkb:RON_MOUSE|ensembl:ENSMUSG00000032584|refseq:NP_001274190|innatedb:IDBG-198503|mgi:Mst1r	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Marquis et al. (2011)	pubmed:21731497	taxid:10090(Mouse)	taxid:10090(Mouse)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0974"(innatedb)	innatedb:IDB-226337	lpr:275|hpr:275|np:1
uniprotkb:Q04912	uniprotkb:P62136	refseq:NP_002438	refseq:NP_001008709	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	uniprotkb:PP1A_HUMAN|ensembl:ENSG00000172531|hgnc:PPP1CA|refseq:NP_002699|refseq:NP_996756|innatedb:IDBG-60210	psi-mi:"MI:0004"(affinity chromatography technology)|psi-mi:"MI:0007"(anti tag coimmunoprecipitation)|psi-mi:"MI:0415"(enzymatic study)	Santoro et al. (2003)|Santoro et al.(2003)	pubmed:14505491	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0974"(innatedb)|psi-mi:"MI:0463"(biogrid)	BIOGRID:857678|innatedb:IDB-155718|BIOGRID:857679	lpr:14|hpr:14|np:1
uniprotkb:Q04912	uniprotkb:P36873	refseq:NP_002438	refseq:NP_002701	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	uniprotkb:PP1G_HUMAN|ensembl:ENSG00000186298|hgnc:PPP1CC|refseq:NP_001231903|innatedb:IDBG-57303	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Santoro et al. (2003)	pubmed:14505491	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0974"(innatedb)	innatedb:IDB-155719	lpr:14|hpr:14|np:1
uniprotkb:Q04912	uniprotkb:1433Z_HUMAN	refseq:NP_002438	refseq:NP_001129171	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	uniprotkb:P63104|ensembl:ENSG00000164924|hgnc:YWHAZ|refseq:NP_001129172|refseq:NP_001129173|refseq:NP_001129174|refseq:NP_003397|refseq:NP_663723|innatedb:IDBG-30919	psi-mi:"MI:0004"(affinity chromatography technology)|psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Santoro et al. (2003)|Santoro et al.(2003)	pubmed:14505491	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(intact)|psi-mi:"MI:0471"(mint)|psi-mi:"MI:0463"(biogrid)	INTACT:EBI-7030176|BIOGRID:857685|MINT:MINT-8006508	lpr:14|hpr:14|np:1
uniprotkb:Q04912	uniprotkb:1433T_HUMAN	refseq:NP_002438	refseq:NP_006817	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	uniprotkb:P27348|ensembl:ENSG00000134308|hgnc:YWHAQ|innatedb:IDBG-27933	psi-mi:"MI:0004"(affinity chromatography technology)|psi-mi:"MI:0018"(two hybrid)	Santoro et al. (2003)|Santoro et al.(2003)	pubmed:12919677|pubmed:14505491	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(intact)|psi-mi:"MI:0471"(mint)|psi-mi:"MI:0463"(biogrid)	INTACT:EBI-6995639|MINT:MINT-8006465|BIOGRID:857684	lpr:2|hpr:2|np:1|lpr:14|hpr:14
uniprotkb:Q04912	uniprotkb:PLXB1_MOUSE	refseq:NP_002438	refseq:NP_766363	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	uniprotkb:Q8CJH3|ensembl:ENSMUSG00000053646|innatedb:IDBG-201210|mgi:Plxnb1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Conrotto et al. (2004)	pubmed:15184888	taxid:9606(Human)	taxid:10090(Mouse)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(intact)	INTACT:EBI-2637679	lpr:1|hpr:1|np:1
uniprotkb:CBL_HUMAN	uniprotkb:Q04912	refseq:NP_005179	refseq:NP_002438	uniprotkb:P22681|ensembl:ENSG00000110395|hgnc:CBL|innatedb:IDBG-74417	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	psi-mi:"MI:0065"(isothermal titration calorimetry)|psi-mi:"MI:0004"(affinity chromatography technology)	Ng et al. (2008)|Germano et al.(2006)|Penengo et al.(2003)	pubmed:18273061|pubmed:16740632|pubmed:12802274	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(intact)|psi-mi:"MI:0463"(biogrid)|psi-mi:"MI:0471"(mint)	MINT:MINT-6539679|INTACT:EBI-7811892|BIOGRID:504136|BIOGRID:437641	lpr:113|hpr:113|np:1|lpr:7|hpr:7|lpr:2|hpr:2
uniprotkb:Q04912	uniprotkb:P29353	refseq:NP_002438	refseq:NP_003020	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	uniprotkb:SHC1_HUMAN|ensembl:ENSG00000160691|hgnc:SHC1|refseq:NP_001123513|refseq:NP_001189788|refseq:NP_892113|refseq:NP_001123512|innatedb:IDBG-103007	psi-mi:"MI:0004"(affinity chromatography technology)	Iwama et al.(1996)	pubmed:8918464	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	BIOGRID:304222	lpr:3|hpr:3|np:1
uniprotkb:Q04912	uniprotkb:GRB2_HUMAN	refseq:NP_002438	refseq:NP_002077	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	uniprotkb:P62993|ensembl:ENSG00000177885|hgnc:GRB2|refseq:NP_987102|innatedb:IDBG-68262	psi-mi:"MI:0096"(pull down)|psi-mi:"MI:0004"(affinity chromatography technology)	Iwama et al.(1996)|Li et al.(1995)	pubmed:8918464|pubmed:7488076	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	BIOGRID:277943|BIOGRID:304223	lpr:3|hpr:3|np:1|lpr:1|hpr:1
uniprotkb:Q04912	uniprotkb:P19174	refseq:NP_002438	refseq:NP_877963	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	uniprotkb:PLCG1_HUMAN|ensembl:ENSG00000124181|hgnc:PLCG1|refseq:NP_002651|innatedb:IDBG-75238	psi-mi:"MI:0004"(affinity chromatography technology)	Iwama et al.(1996)	pubmed:8918464	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	BIOGRID:304224	lpr:3|hpr:3|np:1
uniprotkb:Q04912	uniprotkb:CHIP_HUMAN	refseq:NP_002438	refseq:NP_005852	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	uniprotkb:Q9UNE7|ensembl:ENSG00000103266|hgnc:STUB1|refseq:NP_001280126|innatedb:IDBG-8030	psi-mi:"MI:0004"(affinity chromatography technology)|psi-mi:"MI:0415"(enzymatic study)	Germano et al.(2006)	pubmed:16740632	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	BIOGRID:437636|BIOGRID:437637	lpr:7|hpr:7|np:1
uniprotkb:HSP7C_HUMAN	uniprotkb:Q04912	refseq:NP_694881	refseq:NP_002438	uniprotkb:P11142|ensembl:ENSG00000109971|hgnc:HSPA8|refseq:NP_006588|innatedb:IDBG-74847	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	psi-mi:"MI:0004"(affinity chromatography technology)	Germano et al.(2006)	pubmed:16740632	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	BIOGRID:437638	lpr:7|hpr:7|np:1
uniprotkb:HS90A_HUMAN	uniprotkb:Q04912	refseq:NP_001017963	refseq:NP_002438	uniprotkb:P07900|ensembl:ENSG00000080824|hgnc:HSP90AA1|refseq:NP_005339|innatedb:IDBG-20861	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	psi-mi:"MI:0004"(affinity chromatography technology)	Germano et al.(2006)	pubmed:16740632	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	BIOGRID:437639	lpr:7|hpr:7|np:1
uniprotkb:P0CG48	uniprotkb:Q04912	refseq:NP_066289	refseq:NP_002438	uniprotkb:UBC_HUMAN|ensembl:ENSG00000150991|hgnc:UBC|innatedb:IDBG-64029	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	psi-mi:"MI:0004"(affinity chromatography technology)	Germano et al.(2006)|Penengo et al.(2003)|Emanuele et al.(2011)|Kim et al.(2011)	pubmed:16740632|pubmed:12802274|pubmed:21963094|pubmed:21906983	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	BIOGRID:437642|BIOGRID:630508|BIOGRID:846991|BIOGRID:504135	lpr:7|hpr:7|np:1|lpr:2|hpr:2|lpr:3159|hpr:3159|lpr:4955|hpr:4955
uniprotkb:GAB1_HUMAN	uniprotkb:Q04912	refseq:NP_997006	refseq:NP_002438	uniprotkb:Q13480|ensembl:ENSG00000109458|hgnc:GAB1|refseq:NP_002030|innatedb:IDBG-39257	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	psi-mi:"MI:0004"(affinity chromatography technology)|psi-mi:"MI:0018"(two hybrid)	van et al.(2004)	pubmed:14982882	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	BIOGRID:855148|BIOGRID:855151	lpr:10|hpr:10|np:1
uniprotkb:EPOR_HUMAN	uniprotkb:Q04912	refseq:NP_000112	refseq:NP_002438	uniprotkb:P19235|ensembl:ENSG00000187266|hgnc:EPOR|innatedb:IDBG-29281	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	psi-mi:"MI:0004"(affinity chromatography technology)	van et al.(2004)	pubmed:14982882	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	BIOGRID:855149	lpr:10|hpr:10|np:1
uniprotkb:AKT1_HUMAN	uniprotkb:Q04912	refseq:NP_001014432	refseq:NP_002438	uniprotkb:P31749|ensembl:ENSG00000142208|hgnc:AKT1|refseq:NP_001014431|refseq:NP_005154|innatedb:IDBG-22709	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	psi-mi:"MI:0415"(enzymatic study)	Santoro et al.(2003)	pubmed:14505491	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	BIOGRID:857677	lpr:14|hpr:14|np:1
uniprotkb:Q04912	uniprotkb:1433B_HUMAN	refseq:NP_002438	refseq:NP_647539	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	uniprotkb:P31946|ensembl:ENSG00000166913|hgnc:YWHAB|refseq:NP_003395|innatedb:IDBG-76944	psi-mi:"MI:0004"(affinity chromatography technology)	Santoro et al.(2003)	pubmed:14505491	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	BIOGRID:857680	lpr:14|hpr:14|np:1
uniprotkb:Q04912	uniprotkb:1433E_HUMAN	refseq:NP_002438	refseq:NP_006752	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	uniprotkb:P62258|ensembl:ENSG00000108953|hgnc:YWHAE|innatedb:IDBG-14629	psi-mi:"MI:0004"(affinity chromatography technology)	Santoro et al.(2003)	pubmed:14505491	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	BIOGRID:857681	lpr:14|hpr:14|np:1
uniprotkb:Q04912	uniprotkb:1433F_HUMAN	refseq:NP_002438	refseq:NP_003396	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	uniprotkb:Q04917|ensembl:ENSG00000128245|hgnc:YWHAH|innatedb:IDBG-4947	psi-mi:"MI:0004"(affinity chromatography technology)	Santoro et al.(2003)	pubmed:14505491	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	BIOGRID:857682	lpr:14|hpr:14|np:1
uniprotkb:Q04912	uniprotkb:1433G_HUMAN	refseq:NP_002438	refseq:NP_036611	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	uniprotkb:P61981|ensembl:ENSG00000170027|hgnc:YWHAG|innatedb:IDBG-23145	psi-mi:"MI:0004"(affinity chromatography technology)	Santoro et al.(2003)	pubmed:14505491	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	BIOGRID:857683	lpr:14|hpr:14|np:1
uniprotkb:Q04912	uniprotkb:1433S_HUMAN	refseq:NP_002438	refseq:NP_006133	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	uniprotkb:P31947|ensembl:ENSG00000175793|hgnc:SFN|innatedb:IDBG-94738	psi-mi:"MI:0004"(affinity chromatography technology)	Santoro et al.(2003)	pubmed:14505491	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	BIOGRID:857686	lpr:14|hpr:14|np:1
uniprotkb:CTNB1_HUMAN	uniprotkb:Q62190	refseq:NP_001895	refseq:NP_033100	uniprotkb:P35222|ensembl:ENSG00000168036|hgnc:CTNNB1|refseq:NP_001091679|refseq:NP_001091680|innatedb:IDBG-27347	uniprotkb:RON_MOUSE|ensembl:ENSMUSG00000032584|refseq:NP_001274190|innatedb:IDBG-198503|mgi:Mst1r	psi-mi:"MI:0424"(protein kinase assay)	Wagh et al. (2011)	pubmed:21423209	taxid:9606(Human)	taxid:10090(Mouse)	psi-mi:"MI:0217"(phosphorylation reaction)	psi-mi:"MI:0469"(intact)	INTACT:EBI-4566534	lpr:1|hpr:1|np:1
uniprotkb:Q04912	uniprotkb:HGFL_HUMAN	refseq:NP_002438	refseq:NP_066278	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	uniprotkb:P26927|ensembl:ENSG00000173531|hgnc:MST1|innatedb:IDBG-35033	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Waltz et al. (1997)	pubmed:9374547	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(dip)	DIP:DIP-10924E	lpr:1|hpr:1|np:1
uniprotkb:MAX_HUMAN	uniprotkb:Q04912	refseq:NP_001257998	refseq:NP_002438	uniprotkb:P61244|ensembl:ENSG00000125952|hgnc:MAX|refseq:NP_932061|refseq:NP_002373|refseq:NP_660087|refseq:NP_001257997|refseq:NP_660089|refseq:NP_660088|innatedb:IDBG-9524	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	psi-mi:"MI:0030"(cross-linking study)	Li et al. (2003)	pubmed:12808131	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0462"(bind)	BIND:210658	lpr:1724|hpr:1724|np:1
uniprotkb:MYC_HUMAN	uniprotkb:Q04912	refseq:NP_002458	refseq:NP_002438	uniprotkb:P01106|ensembl:ENSG00000136997|hgnc:MYC|innatedb:IDBG-35442	uniprotkb:RON_HUMAN|ensembl:ENSG00000164078|hgnc:MST1R|refseq:NP_001231866|innatedb:IDBG-35720	psi-mi:"MI:0030"(cross-linking study)	Li et al. (2003)	pubmed:12808131	taxid:9606(Human)	taxid:9606(Human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0462"(bind)	BIND:210659	lpr:1724|hpr:1724|np:1
chebi:"CHEBI:64310"	uniprotkb:Q04912	-	-	psi-mi:crizotinib|psi-mi:"CHEBI:64310"|intact:EBI-9250491|intact:crizotinib|intact:PF 2341066|intact:PF-2341066|intact:"3-[(1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy]-5-[1-(piperidin-4-yl)-1H-pyrazol-4-yl]pyridin-2-amine"|chebi:"CHEBI:702271"	psi-mi:ron_human|psi-mi:MST1R|uniprotkb:B5A944|uniprotkb:B5A945|uniprotkb:B5A946|uniprotkb:B5A947|uniprotkb:MST1R|uniprotkb:PTK8|uniprotkb:RON|uniprotkb:p185-Ron|uniprotkb:Protein-tyrosine kinase 8|uniprotkb:CDw136|intact:EBI-2637518	psi-mi:"MI:0096"(pull down)	Huber et al. (2014)	pubmed:24695225|intact:EBI-9232460	taxid:-2(chemical synthesis)	taxid:9606(human)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9250501	intact-miscore:0.35
uniprotkb:Q04912	uniprotkb:P27348	-	-	psi-mi:ron_human|psi-mi:MST1R|uniprotkb:B5A944|uniprotkb:B5A945|uniprotkb:B5A946|uniprotkb:B5A947|uniprotkb:MST1R|uniprotkb:PTK8|uniprotkb:RON|uniprotkb:p185-Ron|uniprotkb:Protein-tyrosine kinase 8|uniprotkb:CDw136|intact:EBI-2637518	psi-mi:1433t_human|psi-mi:YWHAQ|uniprotkb:Q567U5|uniprotkb:Q5TZU8|uniprotkb:Q9UP48|uniprotkb:D6W4Z5|uniprotkb:YWHAQ|uniprotkb:14-3-3 protein tau|uniprotkb:14-3-3 protein T-cell|uniprotkb:Protein HS1|intact:EBI-359854	psi-mi:"MI:0018"(two hybrid)	Santoro et al. (2003)	pubmed:12919677|mint:MINT-8006455|doi:"10.1016/S1534-5807(03)00201-6"	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-6995639	intact-miscore:0.37
uniprotkb:Q04912	uniprotkb:P63104	-	-	psi-mi:ron_human|psi-mi:MST1R|uniprotkb:B5A944|uniprotkb:B5A945|uniprotkb:B5A946|uniprotkb:B5A947|uniprotkb:MST1R|uniprotkb:PTK8|uniprotkb:RON|uniprotkb:p185-Ron|uniprotkb:Protein-tyrosine kinase 8|uniprotkb:CDw136|intact:EBI-2637518	psi-mi:1433z_human|psi-mi:YWHAZ|uniprotkb:P29213|uniprotkb:P29312|uniprotkb:Q32P43|uniprotkb:Q5XJ08|uniprotkb:Q6GPI2|uniprotkb:Q6IN74|uniprotkb:Q6NUR9|uniprotkb:Q6P3U9|uniprotkb:Q86V33|uniprotkb:A8K1N0|uniprotkb:B7Z465|uniprotkb:YWHAZ|uniprotkb:Protein kinase C inhibitor protein 1|intact:EBI-347088	psi-mi:"MI:0019"(coimmunoprecipitation)	Santoro et al. (2003)	pubmed:14505491|mint:MINT-8006499|doi:10.1042/BJ20030391	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT)	intact:EBI-7030176	intact-miscore:0.35
